model,type,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
gpt_cpp,var,0.933156926,7.750601948,11.29567425,32.63522007,8.081225051,41.75315143,57.1649748,283.6342316,2.989486583,9882.981932,549.0545128,0.094544869,1.751742169,4.634729109,4.222707058,0.032795226,5.408644665,1.871781686
llama_cpp,mean,7.757903226,47.55553931,71.15938508,244.1283216,55.31344254,315.2877067,291.6842199,1869.233114,19.49238614,52663.31904,2925.739944,0.623077209,10.01591734,39.97089214,34.9743498,0.003285937,43.37672198,42.65699385
llama_cpp,var,1.092686199,7.901276969,21.60562654,70.48377795,8.370902336,88.71462837,60.36910414,579.5863478,5.6773305,49067.76012,2725.986679,0.193194884,3.803880234,9.918761172,9.213901035,0.008386804,3.496099063,3.051390142
qwen_14b_cpp,mean,7.775065621,55.8456734,72.01963571,255.7534285,63.62073902,327.7730642,354.1540457,2021.522305,17.46220737,46444.33857,2580.240902,0.673839223,9.744270601,41.82804945,36.13566309,0.032813892,47.94948275,42.10450395
qwen_14b_cpp,var,0.728139589,8.963960997,14.88813645,53.40968342,9.286914908,67.10198756,70.75764093,482.3852531,3.327835967,23781.57359,1321.198604,0.160795133,2.365412576,7.652513069,6.872075332,0.026585744,3.939853927,2.146229991
qwen_32b_cpp,mean,8.040232259,54.24705399,72.4808358,260.0280776,62.28728625,332.5089134,342.1392871,2038.565956,18.8248089,51082.67536,2837.926413,0.679522675,10.25577408,41.7801437,37.35191578,0.019328261,45.98333822,42.00733046
qwen_32b_cpp,var,0.893361713,8.354960772,15.49582158,56.9199067,8.725440007,70.74109183,64.17599151,488.8534242,4.020880394,23772.82214,1320.712366,0.162950867,2.73141689,8.407429191,8.017583202,0.021395682,4.427752358,2.523495952
qwen_4b_cpp,mean,7.465096655,50.81016832,66.06324986,235.0042529,58.27526498,301.0675028,315.4628528,1822.141635,16.75516517,41082.45263,2282.358562,0.607379561,9.848263948,38.1465603,33.41529272,0.02057888,46.83227609,43.37789119
qwen_4b_cpp,var,0.636448452,7.437435106,12.30773278,48.6891369,7.682779465,59.77787697,58.11676168,424.6373826,2.861921928,18516.04751,1028.669328,0.141546927,2.204303874,6.742997036,5.963494391,0.020135864,3.382992539,2.015254657
qwen_8b_cpp,mean,7.285381547,47.40468033,64.41322937,223.148128,54.69006187,287.5613574,289.4027691,1719.895383,16.42045056,42327.89599,2351.549783,0.57329832,8.722287942,36.58950255,31.87873824,0.017493103,46.74022798,44.07980961
qwen_8b_cpp,var,0.909496804,7.830505367,18.62299595,71.90866485,8.259778468,89.09091382,60.75406047,643.3583872,3.902622056,43502.31428,2416.795213,0.214452623,3.46710997,9.413444085,8.860483124,0.025354331,3.892900998,2.633485616
qwen_coder_cpp,mean,7.69608749,43.79134168,64.08677971,216.4819568,51.48742917,280.5687365,264.3001089,1633.434775,18.52563624,41956.16442,2330.897918,0.544477395,9.219084289,34.5339772,30.81021234,0.001470144,44.76494778,44.44208389
qwen_coder_cpp,var,1.044796947,4.852233253,16.98371049,57.38705192,5.30580717,72.14298528,36.29496577,455.1194743,5.032718703,27470.02744,1526.112703,0.151706182,2.971100674,8.021926573,7.713808533,0.004435326,3.127982481,2.838577319
human_cpp,mean,9.659941977,67.54115964,116.5417267,387.9239277,77.20110161,504.4656544,454.5499105,3303.248596,26.77847464,145862.0941,8103.449671,1.101082865,12.61931,55.0098067,39.08745855,0.046661399,45.10384613,38.82270662
human_cpp,var,1.689612031,31.4710569,98.15618625,254.4659521,32.5480704,340.8476451,259.0931481,2649.439901,10.23633864,235927.0141,13107.05634,0.883146634,7.002046742,29.39821373,18.12571857,0.092399905,7.809594977,6.46485212
