variable,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,slope,r_squared
is_iterable,0.0,0.0,0.0021367521367521,0.0,0.0,0.0,0.0,0.0019685039370078,0.0,0.0,0.002020202020202,0.003883495145631,0.0115163147792706,0.0039370078740157,0.0039525691699604,0.0076190476190476,0.0076335877862595,0.0056285178236397,0.0075471698113207,0.0018903591682419,0.0057692307692307,0.00037651582386538093,0.4769742008511361
near_clip,0.0,0.0020491803278688,0.0021367521367521,0.002004008016032,0.0020833333333333,0.005736137667304,0.0,0.0078740157480314,0.0061728395061728,0.0100401606425702,0.004040404040404,0.0097087378640776,0.0095969289827255,0.0039370078740157,0.0079051383399209,0.0152380952380952,0.0076335877862595,0.0056285178236397,0.0132075471698113,0.0075614366729678,0.0019230769230769,0.00037651507238720784,0.3107779663935735
needs_weights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002008032128514,0.0,0.0,0.0,0.0,0.0019762845849802,0.0019047619047619,0.0076335877862595,0.0112570356472795,0.0075471698113207,0.0056710775047258,0.0038461538461538,0.000376493878543332,0.5027559839595376
cond_list,0.0043290043290043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002020202020202,0.003883495145631,0.0057581573896353,0.0098425196850393,0.0019762845849802,0.0114285714285714,0.0076335877862595,0.0093808630393996,0.0094339622641509,0.0018903591682419,0.0019230769230769,0.0003764527130185218,0.3464364295000629
controlnet_prompt_embeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038095238095238,0.0019083969465648,0.0037523452157598,0.0094339622641509,0.0132325141776937,0.0038461538461538,0.0003763510148198895,0.4371767736974283
ret_values,0.0,0.0020491803278688,0.0021367521367521,0.002004008016032,0.0020833333333333,0.0038240917782026,0.0,0.0039370078740157,0.0041152263374485,0.0100401606425702,0.006060606060606,0.0097087378640776,0.0038387715930902,0.0078740157480314,0.0118577075098814,0.0095238095238095,0.0057251908396946,0.0093808630393996,0.0094339622641509,0.0056710775047258,0.0038461538461538,0.000376339655060494,0.43360133567799286
box_trimesh_fmt,0.0,0.0020491803278688,0.0,0.0,0.0041666666666666,0.0019120458891013,0.0019230769230769,0.0039370078740157,0.0,0.0080321285140562,0.004040404040404,0.0097087378640776,0.0038387715930902,0.0039370078740157,0.0138339920948616,0.0076190476190476,0.0057251908396946,0.0093808630393996,0.0075471698113207,0.0075614366729678,0.0019230769230769,0.0003763226532652764,0.3779928904666829
pretrained_image,0.0021645021645021,0.0,0.0,0.0,0.0,0.0,0.0019230769230769,0.0,0.0,0.002008032128514,0.0,0.0,0.0,0.0,0.0039525691699604,0.0076190476190476,0.0057251908396946,0.0112570356472795,0.0056603773584905,0.0056710775047258,0.0057692307692307,0.0003762669765988626,0.5057620428822469
is_file,0.0,0.0,0.0042735042735042,0.0040080160320641,0.0,0.0,0.0038461538461538,0.0059055118110236,0.0020576131687242,0.002008032128514,0.002020202020202,0.0058252427184466,0.0038387715930902,0.0078740157480314,0.0059288537549407,0.0057142857142857,0.0038167938931297,0.0056285178236397,0.0075471698113207,0.0113421550094517,0.0076923076923076,0.0003761342073594088,0.5860882661675954
teacher_output,0.0,0.0040983606557377,0.0021367521367521,0.0060120240480961,0.00625,0.0019120458891013,0.0057692307692307,0.0059055118110236,0.0082304526748971,0.0160642570281124,0.0101010101010101,0.0058252427184466,0.0134357005758157,0.0039370078740157,0.0059288537549407,0.0057142857142857,0.0076335877862595,0.0112570356472795,0.0132075471698113,0.0113421550094517,0.0076923076923076,0.0003761244870554886,0.32569808790530125
box_labels,0.0043290043290043,0.0,0.0021367521367521,0.0,0.0041666666666666,0.0019120458891013,0.0019230769230769,0.0039370078740157,0.0,0.002008032128514,0.004040404040404,0.0019417475728155,0.0115163147792706,0.0,0.0059288537549407,0.0076190476190476,0.0057251908396946,0.0018761726078799,0.0113207547169811,0.0094517958412098,0.0096153846153846,0.0003761036061400426,0.39077731990192555
mask_rate,0.0,0.0,0.0,0.002004008016032,0.0,0.0019120458891013,0.0019230769230769,0.0019685039370078,0.0041152263374485,0.0,0.004040404040404,0.0058252427184466,0.0095969289827255,0.0078740157480314,0.0039525691699604,0.0019047619047619,0.0019083969465648,0.0112570356472795,0.0037735849056603,0.0113421550094517,0.0038461538461538,0.00037602327324404595,0.4192186905481506
test_info_path,0.0,0.0020491803278688,0.0,0.002004008016032,0.0020833333333333,0.0,0.0,0.0039370078740157,0.0020576131687242,0.0080321285140562,0.002020202020202,0.0097087378640776,0.0057581573896353,0.0078740157480314,0.0079051383399209,0.0133333333333333,0.0057251908396946,0.0075046904315197,0.0075471698113207,0.0075614366729678,0.0,0.0003759993882899728,0.3591234626290269
min_new_tokens,0.0,0.0,0.0021367521367521,0.0,0.0,0.0,0.0,0.0,0.0,0.002008032128514,0.0,0.0,0.0019193857965451,0.0,0.0039525691699604,0.0076190476190476,0.0019083969465648,0.0131332082551594,0.0018867924528301,0.0018903591682419,0.0115384615384615,0.000375996446925424,0.3719524479394176
use_torch_2_0_or_xformers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038095238095238,0.0019083969465648,0.0037523452157598,0.0075471698113207,0.0170132325141776,0.0019230769230769,0.00037596316569644077,0.3392851099486861
accumulation_steps,0.0,0.0,0.0021367521367521,0.002004008016032,0.0,0.0019120458891013,0.0019230769230769,0.0039370078740157,0.0,0.0,0.0,0.0077669902912621,0.0019193857965451,0.0039370078740157,0.0019762845849802,0.0114285714285714,0.0038167938931297,0.0056285178236397,0.0037735849056603,0.0037807183364839,0.0134615384615384,0.0003758572260212374,0.3997776109390523
node_dict,0.0,0.0020491803278688,0.0021367521367521,0.0060120240480961,0.0083333333333333,0.0,0.0057692307692307,0.0039370078740157,0.0082304526748971,0.002008032128514,0.002020202020202,0.0058252427184466,0.0057581573896353,0.0039370078740157,0.0039525691699604,0.0133333333333333,0.0038167938931297,0.0150093808630394,0.0037735849056603,0.0094517958412098,0.0115384615384615,0.00037565937468613686,0.3187668144076755
clip_sample,0.0021645021645021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076190476190476,0.0,0.0075046904315197,0.0075471698113207,0.0113421550094517,0.0057692307692307,0.000375496247712718,0.4271703111693222
mask_dtype,0.0021645021645021,0.0,0.0021367521367521,0.0,0.0020833333333333,0.0038240917782026,0.0,0.0,0.0,0.0,0.0,0.0,0.0038387715930902,0.0019685039370078,0.0,0.0076190476190476,0.0019083969465648,0.0075046904315197,0.0075471698113207,0.0075614366729678,0.0115384615384615,0.0003754765118107905,0.4478069885210344
str_list,0.0064935064935064,0.0,0.0021367521367521,0.0100200400801603,0.00625,0.0019120458891013,0.0076923076923076,0.0039370078740157,0.0041152263374485,0.0060240963855421,0.006060606060606,0.0097087378640776,0.0076775431861804,0.0098425196850393,0.0158102766798418,0.0114285714285714,0.0095419847328244,0.0037523452157598,0.0113207547169811,0.0132325141776937,0.0076923076923076,0.000375338985495828,0.34566574369315295
angle_res,0.0,0.0,0.0021367521367521,0.0,0.0020833333333333,0.0,0.0019230769230769,0.0039370078740157,0.0041152263374485,0.0100401606425702,0.002020202020202,0.0077669902912621,0.0076775431861804,0.0039370078740157,0.0079051383399209,0.0076190476190476,0.0057251908396946,0.0056285178236397,0.0113207547169811,0.0075614366729678,0.0019230769230769,0.00037517069719704757,0.44412884686114523
sample_list_path,0.0,0.0,0.0,0.0,0.0,0.0019120458891013,0.0,0.0039370078740157,0.0020576131687242,0.0080321285140562,0.002020202020202,0.0077669902912621,0.0038387715930902,0.0039370078740157,0.0098814229249011,0.0114285714285714,0.0057251908396946,0.0075046904315197,0.0075471698113207,0.0056710775047258,0.0,0.0003749435482010339,0.3942255887081397
batch_heatmap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039370078740157,0.0020576131687242,0.0080321285140562,0.004040404040404,0.0077669902912621,0.0038387715930902,0.0039370078740157,0.0098814229249011,0.0076190476190476,0.0038167938931297,0.0037523452157598,0.0113207547169811,0.0075614366729678,0.0,0.00037494059231485194,0.3945669781848995
CUDA_HOME,0.0043290043290043,0.0,0.0021367521367521,0.0040080160320641,0.0083333333333333,0.005736137667304,0.0038461538461538,0.0098425196850393,0.0020576131687242,0.0080321285140562,0.008080808080808,0.0058252427184466,0.0115163147792706,0.0039370078740157,0.0059288537549407,0.0076190476190476,0.0171755725190839,0.0075046904315197,0.0113207547169811,0.0075614366729678,0.0096153846153846,0.000374880832284826,0.3621682140083881
xyz_diff,0.0,0.0,0.0021367521367521,0.0,0.0,0.0019120458891013,0.0,0.0019685039370078,0.0020576131687242,0.0080321285140562,0.004040404040404,0.0077669902912621,0.0019193857965451,0.0039370078740157,0.0079051383399209,0.0076190476190476,0.0038167938931297,0.0056285178236397,0.0113207547169811,0.0075614366729678,0.0019230769230769,0.00037477349208682307,0.4677926295857276
predictions_class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019685039370078,0.0,0.0,0.004040404040404,0.0019417475728155,0.0019193857965451,0.0039370078740157,0.0079051383399209,0.0133333333333333,0.0019083969465648,0.0018761726078799,0.0056603773584905,0.0056710775047258,0.0057692307692307,0.0003747686558968712,0.4523002502505728
df_all,0.0,0.0,0.0021367521367521,0.002004008016032,0.0020833333333333,0.0,0.0019230769230769,0.0019685039370078,0.0020576131687242,0.0,0.004040404040404,0.0019417475728155,0.0076775431861804,0.0059055118110236,0.0019762845849802,0.0057142857142857,0.0057251908396946,0.0037523452157598,0.0018867924528301,0.0075614366729678,0.0134615384615384,0.0003747208221893475,0.4950338812188741
point_range,0.0,0.0,0.0,0.0060120240480961,0.0,0.0019120458891013,0.0,0.0039370078740157,0.0020576131687242,0.0080321285140562,0.004040404040404,0.0097087378640776,0.0038387715930902,0.0039370078740157,0.0098814229249011,0.0076190476190476,0.0038167938931297,0.0056285178236397,0.0113207547169811,0.0094517958412098,0.0019230769230769,0.0003745179426924399,0.3925824778480165
