submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
1876271,0.2653,0.4194,0.4545
1876339,0.4615,1.0000,0.4615
1868819,0.3889,0.8800,0.4242
1883195,0.2609,0.3175,0.5077
1868972,0.2500,1.0000,0.2500
1889970,0.3333,1.0000,0.3333
1880665,0.2787,1.0000,0.2787
1891235,0.4286,1.0000,0.4286
1904445,0.2927,0.5000,0.3448
1865160,0.3803,1.0000,0.3803
1912866,0.4043,0.5789,0.6129
1892467,0.4082,1.0000,0.4082
1900428,0.4048,0.7333,0.5000
1908749,0.4262,0.8039,0.4528
1897420,0.2642,0.6429,0.3684
1918007,0.4500,1.0000,0.4500
1925484,0.4595,0.6944,0.5278
1925477,0.4524,0.9655,0.4762
1919616,0.3721,1.0000,0.3721
1918879,0.3158,0.6207,0.3333
1932718,0.3846,0.4048,0.4200
1938205,0.4250,1.0000,0.4250
1939350,0.4074,1.0000,0.4074
1953299,0.3529,1.0000,0.3529
1959157,0.1714,0.9200,0.1714
1965598,0.1111,0.1818,0.2500
1953752,0.1471,1.0000,0.1471
1959136,0.3333,1.0000,0.3333
1979770,0.3514,1.0000,0.3514
2006255,0.3611,0.7692,0.3871
2000138,0.2826,0.5238,0.4651
1987180,0.1008,0.1053,0.2698
1987763,0.5000,0.9167,0.5625
1979862,0.3500,0.9697,0.3750
1979803,0.3600,1.0000,0.3600
2009661,0.4250,0.8824,0.4615
2013960,0.3590,1.0000,0.3590
2027553,0.3667,0.6842,0.4800
2014848,0.1852,1.0000,0.1852
2013302,0.2222,0.9643,0.2444
2034085,0.4062,1.0000,0.4062
2026204,0.4231,0.8421,0.5000
2047760,0.5769,1.0000,0.5769
2048409,0.2895,0.4419,0.2667
2055463,0.3250,1.0000,0.3250
2069513,0.2745,0.9268,0.2917
2014187,0.3333,1.0000,0.3333
2077057,0.4333,0.8095,0.5161
2077190,0.3559,0.6538,0.4884
2088956,0.4615,1.0000,0.4615
2089992,0.2857,1.0000,0.2857
2056484,0.4423,1.0000,0.4423
2097903,0.4286,1.0000,0.4286
2094408,0.2444,0.5897,0.3158
2092033,0.2537,0.7885,0.3036
2104266,0.5455,1.0000,0.5455
2106381,0.6316,1.0000,0.6316
2098860,0.3077,1.0000,0.3077
2098919,0.2250,1.0000,0.2250
2101158,0.4000,0.9444,0.4333
2123330,0.3871,0.9375,0.4194
2130488,0.2273,0.8636,0.2500
2111317,0.2308,1.0000,0.2308
2109454,0.2817,0.9231,0.3188
2130489,0.3273,0.6667,0.4490
2123588,0.5417,1.0000,0.5417
2130503,0.3380,0.9091,0.3824
2137501,0.4324,1.0000,0.4324
2145137,0.4286,0.8000,0.5000
2130968,0.5484,0.8636,0.4688
2160707,0.3333,0.8605,0.3239
2165680,0.1786,1.0000,0.1786
2145557,0.3571,1.0000,0.3571
2159152,0.2532,1.0000,0.2532
2165809,0.3846,0.5806,0.5000
2179774,0.4583,0.6596,0.5833
2158219,0.3158,0.8947,0.2951
2195207,0.1200,0.7857,0.0833
2180954,0.4474,0.7097,0.5625
2193775,0.2292,0.9167,0.2391
2181316,0.4194,1.0000,0.4194
2186835,0.2333,0.7500,0.2593
2207929,0.5000,1.0000,0.5000
2207940,0.4286,0.6607,0.4143
2216436,0.3714,1.0000,0.3714
2201126,0.3448,0.5854,0.3529
2222071,0.4103,0.4848,0.5814
2230076,0.2500,1.0000,0.2500
2222628,0.4054,1.0000,0.4054
2228901,0.3256,1.0000,0.3256
2256224,0.5333,0.6000,0.6923
2261477,0.6154,0.9474,0.6538
2249652,0.6000,1.0000,0.6000
2242845,0.3000,1.0000,0.3000
2276587,0.3846,0.3846,0.8750
2293998,0.2647,0.4659,0.4769
2261738,0.2941,1.0000,0.2941
2280956,0.2708,0.4000,0.2237
2284070,0.3929,1.0000,0.3929
2289408,0.3000,1.0000,0.3000
2282613,0.3111,0.8889,0.3409
2297537,0.3571,0.8077,0.3810
2282696,0.3023,1.0000,0.3023
2298193,0.3235,1.0000,0.3235
2297924,0.3409,1.0000,0.3409
2325196,0.2500,0.5833,0.3636
2316923,0.2364,1.0000,0.2364
2324635,0.2308,0.4615,0.3235
2338588,0.1628,1.0000,0.1628
2325235,0.4286,0.8148,0.4865
2332810,0.2812,1.0000,0.2812
2337683,0.2600,0.7826,0.2917
2339508,0.3448,1.0000,0.3448
