name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
cycle_size,0,0,40,1,0,0,40,1,,,,
femi,20,1,0,0,20,1,40,2,0.0,1.0,0.0,1.0
controller_direction,0,0,40,1,0,0,40,1,,,,
worst,20,1,0,0,20,1,40,2,0.0,1.0,0.0,1.0
total_proficiency,0,0,32,1,8,1,40,2,,,,
circle,20,1,0,0,20,1,40,2,0.0,1.0,0.0,1.0
masc,20,1,0,0,20,1,40,2,0.0,1.0,0.0,1.0
fi,29,6,0,0,10,3,39,9,0.0,0.3448275862068966,0.0,0.5
indices,14,2,13,3,12,1,39,6,0.9285714285714286,0.8571428571428571,1.5,0.5
block,0,0,23,1,16,1,39,2,,,,
current_len,0,0,31,4,8,1,39,5,,,,
objects,0,0,39,1,0,0,39,1,,,,
min_sum,0,0,18,1,21,2,39,3,,,,
centroid,0,0,39,1,0,0,39,1,,,,
pairs,18,4,9,3,11,3,38,10,0.5,0.6111111111111112,0.75,0.75
coor,19,1,0,0,19,1,38,2,0.0,1.0,0.0,1.0
mk,32,2,0,0,6,1,38,3,0.0,0.1875,0.0,0.5
next_pos,0,0,18,1,20,3,38,4,,,,
q_marks,0,0,8,1,30,1,38,2,,,,
best_a,0,0,32,2,6,1,38,3,,,,
needed,0,0,20,4,18,1,38,5,,,,
hexversion,24,24,0,0,14,14,38,38,0.0,0.5833333333333334,0.0,0.5833333333333334
query,5,1,29,5,4,1,38,7,5.8,0.8,5.0,1.0
position,4,1,7,2,26,2,37,5,1.75,6.5,2.0,2.0
is_prime,12,3,6,1,19,3,37,7,0.5,1.5833333333333333,0.3333333333333333,1.0
dic,18,2,0,0,19,2,37,4,0.0,1.0555555555555556,0.0,1.0
bulls,6,2,17,3,14,2,37,7,2.8333333333333335,2.3333333333333335,1.5,1.0
ri,29,3,0,0,8,2,37,5,0.0,0.27586206896551724,0.0,0.6666666666666666
option1,0,0,13,2,24,2,37,4,,,,
space,9,2,0,0,28,1,37,3,0.0,3.111111111111111,0.0,0.5
x_coords,0,0,30,3,6,1,36,4,,,,
min_trees,0,0,18,1,18,1,36,2,,,,
lg_c,18,1,0,0,18,1,36,2,0.0,1.0,0.0,1.0
cyclenum,18,1,0,0,18,1,36,2,0.0,1.0,0.0,1.0
new_one,18,1,0,0,18,1,36,2,0.0,1.0,0.0,1.0
sides,4,2,22,3,10,2,36,7,5.5,2.5,1.5,1.0
positions,12,2,16,4,8,2,36,8,1.3333333333333333,0.6666666666666666,2.0,1.0
current_items,0,0,36,2,0,0,36,2,,,,
current_line_length,0,0,18,1,18,1,36,2,,,,
current_v,36,1,0,0,0,0,36,1,0.0,0.0,0.0,0.0
n4,18,1,0,0,18,1,36,2,0.0,1.0,0.0,1.0
child_index,0,0,0,0,36,1,36,1,,,,
steps,20,2,8,1,8,1,36,4,0.4,0.4,0.5,0.5
timer,4,1,32,1,0,0,36,2,8.0,0.0,1.0,0.0
current_tire,0,0,36,1,0,0,36,1,,,,
max_beauty,0,0,36,3,0,0,36,3,,,,
ratings,0,0,24,1,12,1,36,2,,,,
USB,36,1,0,0,0,0,36,1,0.0,0.0,0.0,0.0
Y,20,5,0,0,16,4,36,9,0.0,0.8,0.0,0.8
square_num,0,0,36,1,0,0,36,1,,,,
handbag_key,0,0,36,1,0,0,36,1,,,,
current_node,0,0,6,1,30,2,36,3,,,,
colu,18,1,0,0,18,1,36,2,0.0,1.0,0.0,1.0
subt,18,1,0,0,18,1,36,2,0.0,1.0,0.0,1.0
new_zero,18,1,0,0,18,1,36,2,0.0,1.0,0.0,1.0
robot_y,0,0,35,1,0,0,35,1,,,,
students,0,0,35,2,0,0,35,2,,,,
MOD,9,4,11,6,15,4,35,14,1.2222222222222223,1.6666666666666667,1.5,1.0
bone_position,0,0,35,1,0,0,35,1,,,,
sl1,0,0,0,0,35,1,35,1,,,,
j1,35,1,0,0,0,0,35,1,0.0,0.0,0.0,0.0
ans2,30,2,0,0,5,1,35,3,0.0,0.16666666666666666,0.0,0.5
Q,23,5,0,0,12,4,35,9,0.0,0.5217391304347826,0.0,0.8
is_good,0,0,35,1,0,0,35,1,,,,
robot_x,0,0,35,1,0,0,35,1,,,,
driver_stats,0,0,35,1,0,0,35,1,,,,
mp,19,3,0,0,16,2,35,5,0.0,0.8421052631578947,0.0,0.6666666666666666
current_row,0,0,35,1,0,0,35,1,,,,
curr_len,0,0,26,3,8,1,34,4,,,,
MIN,26,2,0,0,8,1,34,3,0.0,0.3076923076923077,0.0,0.5
assignment,10,1,14,4,10,1,34,6,1.4,1.0,4.0,1.0
