name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
matrix,10,1,34,8,60,8,104,17,3.4,6.0,8.0,8.0
dists,0,0,54,1,50,1,104,2,,,,
denominator,2,1,32,10,70,11,104,22,16.0,35.0,10.0,11.0
mx,104,7,0,0,0,0,104,7,0.0,0.0,0.0,0.0
it,47,3,0,0,57,4,104,7,0.0,1.2127659574468086,0.0,1.3333333333333333
p1,42,6,9,2,53,5,104,13,0.21428571428571427,1.2619047619047619,0.3333333333333333,0.8333333333333334
groups,13,2,44,10,47,7,104,19,3.3846153846153846,3.6153846153846154,5.0,3.5
children,0,0,65,9,38,6,103,15,,,,
chk,103,2,0,0,0,0,103,2,0.0,0.0,0.0,0.0
mode,102,6,0,0,0,0,102,6,0.0,0.0,0.0,0.0
state,74,2,6,2,22,5,102,9,0.08108108108108109,0.2972972972972973,1.0,2.5
changes,25,3,7,1,70,5,102,9,0.28,2.8,0.3333333333333333,1.6666666666666667
ri,29,3,44,2,29,3,102,8,1.5172413793103448,1.0,0.6666666666666666,1.0
delta,15,6,72,10,14,6,101,22,4.8,0.9333333333333333,1.6666666666666667,1.0
graph,60,7,9,1,32,6,101,14,0.15,0.5333333333333333,0.14285714285714285,0.8571428571428571
value,89,5,8,1,2,1,99,7,0.0898876404494382,0.02247191011235955,0.2,0.2
b2,36,4,3,1,59,3,98,8,0.08333333333333333,1.6388888888888888,0.25,0.75
previous,57,6,0,0,41,4,98,10,0.0,0.7192982456140351,0.0,0.6666666666666666
stdin,62,45,0,0,35,12,97,57,0.0,0.5645161290322581,0.0,0.26666666666666666
upper,42,4,12,4,43,7,97,15,0.2857142857142857,1.0238095238095237,1.0,1.75
computer,0,0,4,1,92,2,96,3,,,,
last_op,36,1,0,0,60,1,96,2,0.0,1.6666666666666667,0.0,1.0
hasActor,0,0,96,1,0,0,96,1,,,,
_,29,3,58,3,8,1,95,7,2.0,0.27586206896551724,1.0,0.3333333333333333
moves,20,4,33,3,42,5,95,12,1.65,2.1,0.75,1.25
pos1,78,1,4,1,13,2,95,4,0.05128205128205128,0.16666666666666666,1.0,2.0
gap,21,1,45,3,28,2,94,6,2.142857142857143,1.3333333333333333,3.0,2.0
max1,45,4,0,0,48,1,93,5,0.0,1.0666666666666667,0.0,0.25
alpha,54,2,0,0,39,1,93,3,0.0,0.7222222222222222,0.0,0.5
new_c,0,0,93,2,0,0,93,2,,,,
inp,76,14,0,0,16,4,92,18,0.0,0.21052631578947367,0.0,0.2857142857142857
rx,10,1,72,1,10,1,92,3,7.2,1.0,1.0,1.0
65,0,0,0,0,92,1,92,1,,,,
current_start,0,0,10,1,82,4,92,5,,,,
pos2,78,1,0,0,13,2,91,3,0.0,0.16666666666666666,0.0,2.0
z1,77,4,0,0,14,2,91,6,0.0,0.18181818181818182,0.0,0.5
selected,0,0,30,6,60,8,90,14,,,,
step,27,3,37,6,26,6,90,15,1.3703703703703705,0.9629629629629629,2.0,2.0
symbol,90,1,0,0,0,0,90,1,0.0,0.0,0.0,0.0
numerator,0,0,25,10,65,14,90,24,,,,
factor,39,2,0,0,50,3,89,5,0.0,1.2820512820512822,0.0,1.5
c2,33,6,28,7,28,8,89,21,0.8484848484848485,0.8484848484848485,1.1666666666666667,1.3333333333333333
fact,0,0,53,4,35,3,88,7,,,,
ps,63,5,0,0,25,3,88,8,0.0,0.3968253968253968,0.0,0.6
n1,73,5,12,1,3,1,88,7,0.1643835616438356,0.0410958904109589,0.2,0.2
max_size,8,1,32,4,48,5,88,10,4.0,6.0,4.0,5.0
new_row,0,0,68,6,20,1,88,7,,,,
ss,82,10,0,0,5,2,87,12,0.0,0.06097560975609756,0.0,0.2
r2,23,4,8,3,55,6,86,13,0.34782608695652173,2.391304347826087,0.75,1.5
new_i,0,0,83,2,3,1,86,3,,,,
new_j,0,0,83,2,3,1,86,3,,,,
depth,23,3,15,2,48,4,86,9,0.6521739130434783,2.0869565217391304,0.6666666666666666,1.3333333333333333
text,23,4,35,4,28,6,86,14,1.5217391304347827,1.2173913043478262,1.0,1.5
order,7,3,12,3,66,10,85,16,1.7142857142857142,9.428571428571429,1.0,3.3333333333333335
now,72,8,0,0,12,1,84,9,0.0,0.16666666666666666,0.0,0.125
fractional_part,0,0,60,2,24,2,84,4,,,,
a2,42,6,16,4,26,4,84,14,0.38095238095238093,0.6190476190476191,0.6666666666666666,0.6666666666666666
option1,0,0,22,9,61,4,83,13,,,,
shift,0,0,16,2,66,2,82,4,,,,
lst,48,8,10,2,24,3,82,13,0.20833333333333334,0.5,0.25,0.375
token,4,1,60,1,18,1,82,3,15.0,4.5,1.0,1.0
results,41,3,7,2,34,6,82,11,0.17073170731707318,0.8292682926829268,0.6666666666666666,2.0
option2,0,0,25,9,56,4,81,13,,,,
G,45,5,0,0,36,4,81,9,0.0,0.8,0.0,0.8
s_count,63,1,18,2,0,0,81,3,0.2857142857142857,0.0,2.0,0.0
max_length,5,1,41,5,34,7,80,13,8.2,6.8,5.0,7.0
counter,58,8,15,1,7,2,80,11,0.25862068965517243,0.1206896551724138,0.125,0.25
need_a,40,1,0,0,40,1,80,2,0.0,1.0,0.0,1.0
component,0,0,31,3,49,4,80,7,,,,
last_type,0,0,80,1,0,0,80,1,,,,
state1,80,1,0,0,0,0,80,1,0.0,0.0,0.0,0.0
mn,72,8,0,0,8,1,80,9,0.0,0.1111111111111111,0.0,0.125
state2,80,1,0,0,0,0,80,1,0.0,0.0,0.0,0.0
intervals,0,0,23,5,56,4,79,9,,,,
a1,19,3,19,4,41,4,79,11,1.0,2.1578947368421053,1.3333333333333333,1.3333333333333333
ma,71,5,0,0,8,1,79,6,0.0,0.11267605633802817,0.0,0.2
new_t,0,0,74,4,4,1,78,5,,,,
lis,61,5,0,0,17,2,78,7,0.0,0.2786885245901639,0.0,0.4
prime,60,1,0,0,18,2,78,3,0.0,0.3,0.0,2.0
id,28,6,23,2,27,4,78,12,0.8214285714285714,0.9642857142857143,0.3333333333333333,0.6666666666666666
parity,0,0,75,2,2,1,77,3,,,,
leave,55,2,0,0,22,2,77,4,0.0,0.4,0.0,1.0
available,8,1,23,6,46,9,77,16,2.875,5.75,6.0,9.0
suffix,16,1,3,1,58,5,77,7,0.1875,3.625,1.0,5.0
substr,0,0,17,5,59,4,76,9,,,,
li,61,4,0,0,15,2,76,6,0.0,0.2459016393442623,0.0,0.5
transition,0,0,72,1,4,1,76,2,,,,
amount,48,3,0,0,28,1,76,4,0.0,0.5833333333333334,0.0,0.3333333333333333
neighbors,7,1,32,2,37,3,76,6,4.571428571428571,5.285714285714286,2.0,3.0
day,32,4,8,1,36,5,76,10,0.25,1.125,0.25,1.25
max_time,0,0,66,3,10,2,76,5,,,,
level,22,2,38,2,14,1,74,5,1.7272727272727273,0.6363636363636364,1.0,0.5
seen,25,5,15,5,34,9,74,19,0.6,1.36,1.0,1.8
min_x,0,0,58,7,16,2,74,9,,,,
tokens,14,3,38,5,21,4,73,12,2.7142857142857144,1.5,1.6666666666666667,1.3333333333333333
events,23,3,24,5,26,4,73,12,1.0434782608695652,1.1304347826086956,1.6666666666666667,1.3333333333333333
seq,49,10,0,0,24,5,73,15,0.0,0.4897959183673469,0.0,0.5
