quarter,category,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,comment_rate,mi_std,mi_custom
2021Q2,cs,5.904123758194511,34.07572582598359,26.10079517565481,49.209902269791186,39.979849584178105,75.310697445446,222.2294927753959,469.7853884713742,4.189446050948764,3789.1136928522524,210.5063162695696,0.15659512949045803,17.381876288294986,86.93506396299125,30.0951601176494,64.36661973260838,64.36661973260838
2021Q2,non_cs,5.937163042861002,48.516361553975244,37.00503731614382,70.64671206849897,54.45352459683624,107.65174938464281,338.2798164592115,728.3287599786989,4.2932337797123985,5807.765513357491,322.65363963097167,0.24277625332623295,15.052367510718907,86.9825549947642,30.67398773273571,65.52786334936066,65.52786334936066
2021Q3,cs,6.0449217460841,35.10464218192958,27.101302890391853,50.756871069894956,41.14956392801368,77.85817396028682,230.07842192746844,489.3642692130728,4.27337030276373,4047.28345223532,224.84908067974,0.16312142307102426,18.166912863756348,90.30406423209067,23.35818204726222,63.68207730677284,63.68207730677284
2021Q3,non_cs,5.731595702071028,45.19563030860803,34.75001097481865,65.9958535673005,50.92722601067906,100.74586454211916,305.36352616990166,658.9334428986829,4.149672039656386,4700.227945634559,261.12377475747553,0.21964448096622757,14.263605675850938,84.63943809961187,36.026721225127375,65.95482095993775,65.95482095993775
2021Q4,cs,5.983890665006564,33.886218105544,25.76924025255394,48.34776700771641,39.870108770550566,74.11700726027034,219.90682736420268,459.6968016326452,4.2031152076808835,3686.1176067070023,204.78431148372235,0.15323226721088168,17.48325392204428,88.65668942280213,25.75620790647889,64.17662456350212,64.17662456350212
2021Q4,non_cs,6.030231853159575,52.85935989192441,41.589187711269446,79.3944572312067,58.889591745084,120.98364494247613,377.1892312059675,841.3100879744336,4.384818876541972,6613.499455810359,367.4166364339088,0.2804366959914778,14.211146533692462,89.60473557181021,35.39650439392743,65.52560860766192,65.52560860766192
2022Q1,cs,6.094039141343649,34.41787682024592,26.738900704038947,49.99812098976467,40.51191596158957,76.73702169380361,223.58772899513272,475.96938067700944,4.35766230716735,3913.354340475704,217.40857447087242,0.15865646022566976,17.470539346290636,88.77354955515736,22.559204897891366,63.16687220797751,63.16687220797751
2022Q1,non_cs,6.209176910775411,51.381944337224056,38.72738941054802,73.94444023659912,57.59112124799946,112.67182964714713,368.2878461921807,783.6745895180277,4.391186747846659,6325.403004936707,351.4112780520392,0.26122486317267585,14.79813861367817,86.07603373404393,44.92800008233507,65.50143398708441,65.50143398708441
2022Q2,cs,5.948861223240714,34.918363592364976,26.74050598739503,50.341300194857254,40.86722481560569,77.08180618225228,228.4439688763984,483.1616683880643,4.207202248265413,3866.0588725369594,214.7810484742755,0.16105388946268806,17.80187514214293,89.18594463423864,24.607192716267605,64.25856896523571,64.25856896523571
2022Q2,non_cs,5.777982399338548,43.85370380554844,34.19081574655194,64.90672063211372,49.63168620488699,99.09753637866565,301.9721683993421,660.9550809503605,4.2358138482467504,4969.966234486846,276.1092352492692,0.2203183603167868,14.798828369770238,86.05096412908614,34.18522023783105,65.23076536106433,65.23076536106433
2022Q3,cs,6.070702266821612,35.70263888373456,27.147229072053722,50.97923080555707,41.77334115055617,78.12645987761078,234.20567042537849,490.5079779594165,4.268600794662555,3905.146912266172,216.95260623700952,0.16350265931980548,17.983673782395915,89.91209243953249,24.094620470685793,64.09289831185461,64.09289831185461
