fullname,type,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
183A,2,4,9,9,18,13,27,36.53,99.91,4.0,399.65,22.2,0.0333,0,19,14,7.14,75.7,75.7
183A,mean,4,9,9,18,13,27,36.53,99.91,4.0,399.65,22.2,0.03,2.5,17.5,14,3.57,67.94,67.94
183A,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,0.0,3.57,7.76,7.76
185A,1,5,9,6,12,14,18,40.14,68.53,3.33,228.44,12.69,0.0228,0,7,5,20.0,95.01,95.01
185A,2,5,9,5,10,14,15,40.14,57.11,2.78,158.64,8.81,0.019,1,7,5,0.0,72.18,72.18
185A,3,6,13,8,16,19,24,63.62,101.95,3.69,376.43,20.91,0.034,0,3,3,0.0,75.26,75.26
185A,4,4,9,6,12,13,18,36.53,66.61,2.67,177.62,9.87,0.0222,0,3,3,0.0,76.69,76.69
185A,5,4,9,6,12,13,18,36.53,66.61,2.67,177.62,9.87,0.0222,0,4,4,0.0,73.96,73.96
185A,6,5,49,29,58,54,87,286.73,500.68,2.96,1481.59,82.31,0.1669,2,14,12,0.0,57.15,57.15
185A,7,4,8,5,10,12,15,32.0,53.77,2.5,134.44,7.47,0.0179,0,5,6,0.0,70.64,70.64
185A,8,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,3,3,0.0,78.13,78.13
185A,9,5,7,5,9,12,14,31.26,50.19,3.21,161.32,8.96,0.0167,0,5,3,33.33,100.0,100.0
185A,10,5,9,6,12,14,18,40.14,68.53,3.33,228.44,12.69,0.0228,0,8,6,0.0,69.9,69.9
185A,11,7,16,12,24,23,36,83.65,162.85,5.25,854.95,47.5,0.0543,3,18,15,0.0,58.32,58.32
185A,12,6,15,10,20,21,30,74.11,131.77,4.0,527.08,29.28,0.0439,11,33,30,13.04,71.75,71.75
185A,mean,5,13.33,8.5,16.92,18.33,25.42,66.04,114.18,3.22,383.45,21.3,0.04,1.42,9.17,7.92,5.53,74.92,74.92
185A,std,0.91,11.12,6.56,13.17,11.36,19.74,68.73,121.51,0.78,390.18,21.68,0.04,3.04,8.44,7.59,10.46,11.9,11.9
193C,1,11,145,114,228,156,342,1079.14,2491.61,8.65,21548.11,1197.12,0.8305,12,71,59,0.0,36.65,36.65
193C,mean,11,145,114,228,156,342,1079.14,2491.61,8.65,21548.11,1197.12,0.83,12,71,59,0.0,36.65,36.65
193C,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193E,1,10,33,30,59,43,89,199.68,482.94,8.94,4317.17,239.84,0.161,3,31,28,0.0,48.16,48.16
193E,mean,10,33,30,59,43,89,199.68,482.94,8.94,4317.17,239.84,0.16,3,31,28,0.0,48.16,48.16
193E,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199A,1,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,2,2,0.0,88.56,88.56
199A,2,4,9,10,14,13,24,36.53,88.81,3.11,276.3,15.35,0.0296,0,12,11,9.09,80.2,80.2
199A,3,4,9,9,18,13,27,36.53,99.91,4.0,399.65,22.2,0.0333,0,19,19,0.0,57.43,57.43
199A,4,4,11,11,22,15,33,46.05,128.93,4.0,515.71,28.65,0.043,0,23,23,0.0,54.44,54.44
199A,5,6,15,13,23,21,36,74.11,158.12,4.6,727.37,40.41,0.0527,0,9,13,0.0,59.63,59.63
199A,6,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,1,1,0.0,95.12,95.12
199A,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,0.0,100.0,100.0
199A,8,4,4,4,8,8,12,16.0,36.0,4.0,144.0,8.0,0.012,0,10,8,0.0,69.0,69.0
199A,9,4,4,4,8,8,12,16.0,36.0,4.0,144.0,8.0,0.012,0,6,8,0.0,69.0,69.0
199A,10,2,5,3,6,7,9,13.61,25.27,1.2,30.32,1.68,0.0084,0,13,13,0.0,65.34,65.34
199A,11,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,1,1,0.0,95.12,95.12
199A,12,6,13,13,24,19,37,63.62,157.17,5.54,870.5,48.36,0.0524,0,18,16,0.0,57.55,57.55
199A,13,8,18,12,24,26,36,99.06,169.22,5.33,902.48,50.14,0.0564,8,24,24,0.0,53.48,53.48
199A,14,8,16,11,22,24,33,88.0,151.3,5.5,832.17,46.23,0.0504,8,24,24,0.0,53.82,53.82
199A,15,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6,6,0.0,100.0,100.0
199A,16,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,0.0,100.0,100.0
199A,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,0.0,100.0,100.0
199A,18,3,7,5,10,10,15,24.41,49.83,2.14,106.78,5.93,0.0166,3,25,21,0.0,58.6,58.6
199A,19,4,3,4,7,7,11,12.75,30.88,4.67,144.11,8.01,0.0103,0,11,8,12.5,89.02,89.02
199A,20,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,0.0,100.0,100.0
199A,21,7,17,14,27,24,41,89.14,187.98,5.56,1044.97,58.05,0.0627,3,24,23,0.0,53.56,53.56
199A,22,3,5,4,8,8,12,16.36,36.0,2.4,86.4,4.8,0.012,0,13,10,0.0,66.75,66.75
199A,23,4,14,8,16,18,24,61.3,100.08,2.29,228.75,12.71,0.0334,0,10,8,0.0,65.89,65.89
199A,24,3,5,4,8,8,12,16.36,36.0,2.4,86.4,4.8,0.012,0,8,8,0.0,69.0,69.0
199A,25,4,11,7,14,15,21,46.05,82.04,2.55,208.84,11.6,0.0273,0,16,16,0.0,59.66,59.66
199A,26,8,21,16,32,29,48,116.24,233.18,6.1,1421.31,78.96,0.0777,9,27,23,4.35,64.75,64.75
199A,27,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,2,2,0.0,88.56,88.56
199A,28,2,8,6,12,10,18,26.0,59.79,1.5,89.69,4.98,0.0199,0,27,27,0.0,55.39,55.39
199A,29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,0.0,100.0,100.0
199A,30,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,0.0,100.0,100.0
199A,31,3,10,10,20,13,30,37.97,111.01,3.0,333.04,18.5,0.037,0,20,15,13.33,79.29,79.29
199A,32,4,16,14,28,20,42,72.0,181.52,3.5,635.32,35.3,0.0605,5,23,23,0.0,53.27,53.27
199A,33,3,5,4,8,8,12,16.36,36.0,2.4,86.4,4.8,0.012,0,9,8,12.5,88.55,88.55
199A,34,6,14,17,25,20,42,68.81,181.52,5.36,972.43,54.02,0.0605,0,11,11,0.0,60.93,60.93
199A,35,3,5,4,8,8,12,16.36,36.0,2.4,86.4,4.8,0.012,0,9,8,12.5,88.55,88.55
199A,36,3,8,5,10,11,15,28.75,51.89,1.88,97.3,5.41,0.0173,0,13,13,0.0,62.88,62.88
199A,37,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,6,4,0.0,81.99,81.99
199A,38,4,6,4,8,10,12,23.51,39.86,2.67,106.3,5.91,0.0133,3,13,11,0.0,65.54,65.54
199A,39,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,2,0.0,100.0,100.0
199A,40,4,12,10,20,16,30,51.02,120.0,3.33,400.0,22.22,0.04,0,13,12,0.0,61.09,61.09
199A,41,4,9,9,13,13,22,36.53,81.41,2.89,235.18,13.07,0.0271,0,10,10,0.0,64.27,64.27
199A,mean,3.1,7.07,5.85,11.05,10.17,16.9,30.72,66.57,2.46,273.76,15.21,0.02,0.95,11.39,10.73,1.57,75.03,75.03
199A,std,2.34,5.9,5.08,9.43,8.09,14.46,31.4,66.17,1.92,357.5,19.86,0.02,2.34,8.35,7.89,3.97,17.14,17.14
202B,1,10,35,26,50,45,76,212.74,417.38,7.14,2981.29,165.63,0.1391,8,53,44,0.0,43.78,43.78
202B,mean,10,35,26,50,45,76,212.74,417.38,7.14,2981.29,165.63,0.14,8,53,44,0.0,43.78,43.78
202B,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205C,1,9,58,51,102,67,153,368.29,928.11,7.91,7344.88,408.05,0.3094,0,39,31,9.38,62.14,62.14
205C,mean,9,58,51,102,67,153,368.29,928.11,7.91,7344.88,408.05,0.31,0,39,31,9.38,62.14,62.14
205C,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208D,1,5,24,29,58,29,87,121.65,422.64,6.04,2553.48,141.86,0.1409,0,40,39,0.0,45.83,45.83
208D,2,6,10,7,13,16,20,48.73,80.0,3.9,312.0,17.33,0.0267,0,20,14,66.67,90.03,90.03
208D,3,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,27,15,0.0,62.88,62.88
208D,mean,4.67,13.33,13.33,26.33,18,39.67,63.55,180.23,3.98,980.52,54.47,0.06,0,29,22.67,22.22,66.25,66.25
208D,std,1.25,7.72,11.15,22.48,8.29,33.63,42.7,172.27,1.65,1116.41,62.02,0.06,0.0,8.29,11.56,31.43,18.2,18.2
21C,1,7,12,11,19,19,30,62.67,127.44,5.54,706.22,39.23,0.0425,0,8,9,0.0,63.77,63.77
21C,2,10,23,25,50,33,75,137.26,378.33,10.87,4112.28,228.46,0.1261,10,42,33,6.06,61.76,61.76
21C,mean,8.5,17.5,18,34.5,26,52.5,99.97,252.88,8.21,2409.25,133.84,0.08,5,25,21,3.03,62.77,62.77
21C,std,1.5,5.5,7.0,15.5,7.0,22.5,37.29,125.44,2.66,1703.03,94.62,0.04,5.0,17.0,12.0,3.03,1.01,1.01
226A,1,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,3,2,50.0,100.0,100.0
226A,2,5,16,12,24,21,36,75.61,158.12,3.75,592.96,32.94,0.0527,3,11,10,0.0,62.39,62.39
226A,3,3,4,3,6,7,9,12.75,25.27,2.25,56.85,3.16,0.0084,0,5,5,0.0,74.66,74.66
226A,4,3,5,3,6,8,9,16.36,27.0,1.8,48.6,2.7,0.009,0,4,3,33.33,100.0,100.0
226A,5,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,2,2,0.0,84.96,84.96
226A,6,7,10,10,20,17,30,52.87,122.62,7.0,858.37,47.69,0.0409,0,15,10,0.0,63.16,63.16
226A,7,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,2,2,0.0,84.96,84.96
226A,mean,3.43,6.71,4.86,9.71,10.14,14.57,26.8,54.22,2.54,229.04,12.72,0.02,0.43,6,4.86,11.9,81.45,81.45
226A,std,1.76,4.3,3.94,7.89,5.74,11.83,24.54,55.48,2.04,322.38,17.91,0.02,1.05,4.66,3.4,19.34,14.43,14.43
23E,1,7,21,17,33,28,50,111.89,240.37,5.5,1322.02,73.45,0.0801,6,46,38,0.0,47.39,47.39
23E,2,6,34,27,53,40,80,188.48,425.75,4.68,1991.03,110.61,0.1419,10,63,55,1.82,49.81,49.81
23E,mean,6.5,27.5,22,43,34,65,150.19,333.06,5.09,1656.53,92.03,0.11,8,54.5,46.5,0.91,48.6,48.6
23E,std,0.5,6.5,5.0,10.0,6.0,15.0,38.29,92.69,0.41,334.5,18.58,0.03,2.0,8.5,8.5,0.91,1.21,1.21
23B,1,2,5,3,6,7,9,13.61,25.27,1.2,30.32,1.68,0.0084,3,16,16,0.0,63.37,63.37
23B,2,3,7,4,8,10,12,24.41,39.86,1.71,68.34,3.8,0.0133,3,16,16,0.0,61.99,61.99
23B,3,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,8,6,0.0,74.42,74.42
23B,mean,2.33,5.33,3,6,7.67,9,16.01,26.88,1.3,38.06,2.11,0.01,2,13.33,12.67,0.0,66.59,66.59
23B,std,0.47,1.25,0.82,1.63,1.7,2.45,6.12,10.01,0.3,22.25,1.24,0.0,1.41,3.77,4.71,0.0,5.56,5.56
230B,1,2,7,6,12,9,18,21.65,57.06,1.71,97.81,5.43,0.019,0,107,13,900.0,60.77,60.77
230B,2,3,7,5,10,10,15,24.41,49.83,2.14,106.78,5.93,0.0166,0,11,11,27.27,90.54,90.54
230B,3,5,15,10,20,20,30,70.21,129.66,3.33,432.19,24.01,0.0432,0,25,24,0.0,53.75,53.75
230B,4,2,5,4,8,7,12,13.61,33.69,1.6,53.9,2.99,0.0112,0,11,11,0.0,65.78,65.78
230B,mean,3,8.5,6.25,12.5,11.5,18.75,32.47,67.56,2.2,172.67,9.59,0.02,0,38.5,14.75,231.82,67.71,67.71
230B,std,1.22,3.84,2.28,4.56,5.02,6.83,22.15,36.84,0.69,151.16,8.4,0.01,0.0,39.96,5.4,385.94,13.86,13.86
230A,1,2,3,2,4,5,6,6.75,13.93,1.33,18.58,1.03,0.0046,0,12,12,0.0,67.64,67.64
230A,2,2,3,2,4,5,6,6.75,13.93,1.33,18.58,1.03,0.0046,0,10,10,0.0,69.37,69.37
230A,3,2,3,2,4,5,6,6.75,13.93,1.33,18.58,1.03,0.0046,0,23,20,5.26,76.32,76.32
230A,4,4,7,5,9,11,14,27.65,48.43,2.57,124.54,6.92,0.0161,0,28,24,4.17,69.15,69.15
230A,5,2,3,2,4,5,6,6.75,13.93,1.33,18.58,1.03,0.0046,0,16,16,0.0,64.78,64.78
230A,6,6,17,10,20,23,30,85.0,135.71,3.53,478.97,26.61,0.0452,10,43,32,0.0,50.62,50.62
230A,7,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,16,15,0.0,62.74,62.74
230A,8,3,3,3,5,6,8,9.51,20.68,2.5,51.7,2.87,0.0069,0,12,15,0.0,64.46,64.46
230A,9,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,3,4,0.0,78.13,78.13
230A,10,2,3,2,4,5,6,6.75,13.93,1.33,18.58,1.03,0.0046,0,20,18,0.0,63.93,63.93
230A,11,4,8,6,12,12,18,32.0,64.53,3.0,193.59,10.75,0.0215,0,21,19,0.0,58.76,58.76
230A,12,2,3,2,4,5,6,6.75,13.93,1.33,18.58,1.03,0.0046,0,17,16,0.0,64.78,64.78
230A,13,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,16,16,0.0,62.13,62.13
230A,14,2,3,2,4,5,6,6.75,13.93,1.33,18.58,1.03,0.0046,0,11,11,0.0,68.6,68.6
230A,15,3,8,5,10,11,15,28.75,51.89,1.88,97.3,5.41,0.0173,0,20,18,5.56,73.66,73.66
230A,16,2,3,2,4,5,6,6.75,13.93,1.33,18.58,1.03,0.0046,0,13,15,0.0,65.8,65.8
230A,17,2,3,2,4,5,6,6.75,13.93,1.33,18.58,1.03,0.0046,0,12,14,0.0,66.18,66.18
230A,18,3,7,4,8,10,12,24.41,39.86,1.71,68.34,3.8,0.0133,0,26,26,0.0,56.85,56.85
230A,19,2,3,2,4,5,6,6.75,13.93,1.33,18.58,1.03,0.0046,0,8,8,0.0,71.75,71.75
230A,mean,2.68,5.05,3.32,6.53,7.74,9.84,17.12,31.16,1.76,72.0,4.0,0.01,0.53,17.21,16.26,0.79,66.09,66.09
230A,std,1.03,3.38,2.03,4.03,4.36,6.05,18.26,29.26,0.67,106.62,5.92,0.01,2.23,8.59,6.26,1.84,6.42,6.42
232A,1,6,19,16,32,25,48,96.22,222.91,5.05,1126.26,62.57,0.0743,0,31,31,0.0,48.47,48.47
232A,2,5,13,11,21,18,32,59.72,133.44,4.04,538.88,29.94,0.0445,0,41,36,0.0,50.09,50.09
232A,mean,5.5,16,13.5,26.5,21.5,40,77.97,178.18,4.54,832.57,46.26,0.06,0,36,33.5,0.0,49.28,49.28
232A,std,0.5,3.0,2.5,5.5,3.5,8.0,18.25,44.73,0.5,293.69,16.31,0.01,0.0,5.0,2.5,0.0,0.81,0.81
235B,1,3,12,9,18,15,27,47.77,105.49,2.25,237.34,13.19,0.0352,0,12,11,0.0,62.71,62.71
235B,2,3,12,9,18,15,27,47.77,105.49,2.25,237.34,13.19,0.0352,0,23,11,0.0,62.71,62.71
235B,3,3,12,9,18,15,27,47.77,105.49,2.25,237.34,13.19,0.0352,0,12,11,0.0,62.71,62.71
235B,mean,3,12,9,18,15,27,47.77,105.49,2.25,237.34,13.19,0.04,0,15.67,11,0.0,62.71,62.71
235B,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,0.0,0.0,0.0,0.0
238A,1,5,11,6,12,16,18,49.66,72.0,2.73,196.36,10.91,0.024,0,6,7,0.0,68.29,68.29
238A,2,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,5,6,0.0,71.69,71.69
238A,3,5,14,18,36,19,54,64.91,229.39,6.43,1474.64,81.92,0.0765,0,15,12,0.0,59.66,59.66
238A,mean,4.33,10.33,9.33,18.67,14.67,28,44.94,113.14,3.72,582.36,32.35,0.04,0,8.67,8.33,0.0,66.55,66.55
238A,std,0.94,3.3,6.18,12.36,4.19,18.55,18.53,83.36,1.94,632.85,35.15,0.03,0.0,4.5,2.62,0.0,5.06,5.06
241A,1,7,17,14,28,24,42,89.14,192.57,5.76,1110.1,61.67,0.0642,7,30,22,23.81,78.42,78.42
241A,2,7,22,16,30,29,46,117.76,223.47,4.77,1066.55,59.25,0.0745,0,19,20,0.0,54.36,54.36
241A,3,7,23,24,48,30,72,123.69,353.3,7.3,2580.6,143.37,0.1178,0,28,28,0.0,49.78,49.78
241A,mean,7,20.67,18,35.33,27.67,53.33,110.2,256.45,5.94,1585.75,88.1,0.09,2.33,25.67,23.33,7.94,60.85,60.85
241A,std,0.0,2.62,4.32,8.99,2.62,13.3,15.08,69.64,1.04,703.69,39.1,0.02,3.3,4.78,3.4,11.22,12.56,12.56
244A,1,3,11,9,18,14,27,42.81,102.8,2.45,252.32,14.02,0.0343,0,5,10,0.0,63.69,63.69
244A,2,3,7,4,8,10,12,24.41,39.86,1.71,68.34,3.8,0.0133,0,9,9,0.0,67.04,67.04
244A,3,4,8,8,16,12,24,32.0,86.04,4.0,344.16,19.12,0.0287,0,13,15,0.0,59.86,59.86
244A,4,8,14,12,24,22,36,77.3,160.54,6.86,1100.84,61.16,0.0535,0,17,17,0.0,56.37,56.37
244A,5,3,7,7,14,10,21,24.41,69.76,3.0,209.28,11.63,0.0233,0,14,12,0.0,62.74,62.74
244A,6,5,9,7,14,14,21,40.14,79.95,3.89,310.93,17.27,0.0267,0,26,20,5.0,70.15,70.15
244A,7,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,6,9,0.0,68.76,68.76
244A,8,3,7,5,10,10,15,24.41,49.83,2.14,106.78,5.93,0.0166,0,14,14,0.0,62.17,62.17
244A,9,4,8,5,10,12,15,32.0,53.77,2.5,134.44,7.47,0.0179,0,19,15,0.0,61.42,61.42
244A,10,4,10,9,18,14,27,41.22,102.8,3.6,370.07,20.56,0.0343,0,13,14,0.0,60.37,60.37
244A,11,5,10,7,14,15,21,44.83,82.04,3.5,287.16,15.95,0.0273,0,10,10,0.0,63.98,63.98
244A,12,4,6,5,10,10,15,23.51,49.83,3.33,166.1,9.23,0.0166,0,18,18,0.0,60.06,60.06
244A,13,3,4,4,8,7,12,12.75,33.69,3.0,101.06,5.61,0.0112,0,16,14,7.14,78.87,78.87
244A,14,4,9,9,18,13,27,36.53,99.91,4.0,399.65,22.2,0.0333,0,20,19,5.26,70.54,70.54
244A,15,3,14,10,20,17,30,58.06,122.62,2.14,262.77,14.6,0.0409,0,14,15,0.0,59.18,59.18
244A,16,3,10,8,16,13,24,37.97,88.81,2.4,213.15,11.84,0.0296,0,25,22,0.0,56.0,56.0
244A,17,3,18,12,24,21,36,79.81,158.12,2.0,316.25,17.57,0.0527,5,31,23,13.04,73.58,73.58
244A,18,4,7,5,10,11,15,27.65,51.89,2.86,148.26,8.24,0.0173,0,20,19,0.0,59.15,59.15
244A,19,3,8,7,14,11,21,28.75,72.65,2.62,190.7,10.59,0.0242,0,21,16,0.0,60.03,60.03
244A,20,3,11,9,18,14,27,42.81,102.8,2.45,252.32,14.02,0.0343,0,18,18,0.0,57.45,57.45
244A,21,4,10,9,18,14,27,41.22,102.8,3.6,370.07,20.56,0.0343,0,22,18,0.0,57.59,57.59
244A,22,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,10,10,0.0,66.31,66.31
244A,23,4,6,5,10,10,15,23.51,49.83,3.33,166.1,9.23,0.0166,0,13,13,0.0,62.6,62.6
244A,24,4,7,5,10,11,15,27.65,51.89,2.86,148.26,8.24,0.0173,4,21,17,0.0,60.48,60.48
244A,25,4,9,8,16,13,24,36.53,88.81,3.56,315.77,17.54,0.0296,3,14,13,0.0,61.52,61.52
244A,mean,3.72,8.88,7.04,14.08,12.6,21.12,35.92,78.64,2.99,253.51,14.08,0.03,0.48,16.36,15.2,1.22,63.2,63.2
244A,std,1.11,3.01,2.44,4.88,3.48,7.32,16.03,34.94,1.09,200.8,11.16,0.01,1.33,6.08,3.86,3.08,5.52,5.52
245B,1,3,13,10,20,16,30,52.86,120.0,2.31,276.92,15.38,0.04,0,17,21,0.0,56.2,56.2
245B,2,3,14,8,16,17,24,58.06,98.1,1.71,168.17,9.34,0.0327,2,14,15,0.0,60.0,60.0
245B,3,3,9,6,10,12,16,33.28,57.36,1.67,95.6,5.31,0.0191,0,12,14,0.0,62.28,62.28
245B,4,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,10,7,0.0,76.55,76.55
245B,mean,2.5,9.5,6.25,12,12,18.25,36.55,70.05,1.55,135.77,7.54,0.02,0.5,13.25,14.25,0.0,63.76,63.76
245B,std,0.87,4.72,3.34,6.78,5.52,10.11,21.98,43.89,0.66,100.47,5.58,0.01,0.87,2.59,4.97,0.0,7.7,7.7
25A,1,4,19,13,26,23,39,88.71,176.42,2.74,482.83,26.82,0.0588,0,11,11,0.0,60.61,60.61
25A,2,3,7,4,8,10,12,24.41,39.86,1.71,68.34,3.8,0.0133,0,8,9,0.0,67.57,67.57
25A,3,4,10,9,18,14,27,41.22,102.8,3.6,370.07,20.56,0.0343,0,23,24,0.0,54.59,54.59
25A,4,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,4,6,0.0,71.56,71.56
25A,5,5,29,23,46,34,69,152.49,351.03,3.97,1392.04,77.34,0.117,0,24,24,0.0,50.19,50.19
25A,6,5,36,34,68,41,102,197.73,546.47,4.72,2580.55,143.36,0.1822,0,15,14,0.0,54.75,54.75
25A,7,4,20,14,28,24,42,94.44,192.57,2.8,539.19,29.96,0.0642,0,13,13,0.0,58.9,58.9
25A,8,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,10,10,0.0,66.58,66.58
25A,9,4,9,5,10,13,15,36.53,55.51,2.22,123.35,6.85,0.0185,0,14,14,0.0,62.25,62.25
25A,10,4,12,11,22,16,33,51.02,132.0,3.67,484.0,26.89,0.044,0,17,17,0.0,57.1,57.1
25A,11,3,8,5,10,11,15,28.75,51.89,1.88,97.3,5.41,0.0173,0,9,9,0.0,66.77,66.77
25A,12,3,12,11,22,15,33,47.77,128.93,2.75,354.55,19.7,0.043,0,19,19,0.0,56.12,56.12
25A,13,4,13,9,18,17,27,56.11,110.36,2.77,305.62,16.98,0.0368,0,13,13,0.0,60.86,60.86
25A,14,4,11,6,12,15,18,46.05,70.32,2.18,153.43,8.52,0.0234,0,11,11,0.0,63.68,63.68
25A,15,3,11,10,20,14,30,42.81,114.22,2.73,311.51,17.31,0.0381,0,14,14,0.0,59.38,59.38
25A,16,4,18,12,24,22,36,83.06,160.54,2.67,428.11,23.78,0.0535,0,17,16,0.0,57.08,57.08
25A,17,3,7,4,8,10,12,24.41,39.86,1.71,68.34,3.8,0.0133,0,9,9,0.0,67.57,67.57
25A,18,4,11,11,22,15,33,46.05,128.93,4.0,515.71,28.65,0.043,0,27,23,0.0,54.58,54.58
25A,19,3,9,7,14,12,21,33.28,75.28,2.33,175.66,9.76,0.0251,0,15,15,0.0,60.53,60.53
25A,20,6,11,13,26,17,39,53.56,159.41,7.09,1130.37,62.8,0.0531,0,20,20,0.0,55.26,55.26
25A,21,4,11,9,18,15,27,46.05,105.49,3.27,345.23,19.18,0.0352,0,20,20,0.0,56.11,56.11
25A,22,5,11,6,12,16,18,49.66,72.0,2.73,196.36,10.91,0.024,0,15,15,0.0,60.4,60.4
25A,23,3,9,8,16,12,24,33.28,86.04,2.67,229.44,12.75,0.0287,0,11,11,0.0,62.66,62.66
25A,24,4,16,10,20,20,30,72.0,129.66,2.5,324.14,18.01,0.0432,3,19,14,0.0,59.4,59.4
25A,25,6,10,8,16,16,24,48.73,96.0,4.8,460.8,25.6,0.032,0,13,13,0.0,61.15,61.15
25A,26,3,7,4,8,10,12,24.41,39.86,1.71,68.34,3.8,0.0133,0,10,10,0.0,66.44,66.44
25A,27,4,11,8,16,15,24,46.05,93.77,2.91,272.77,15.15,0.0313,0,27,26,0.0,54.65,54.65
25A,28,3,9,8,16,12,24,33.28,86.04,2.67,229.44,12.75,0.0287,0,17,17,0.0,58.54,58.54
25A,29,3,4,3,6,7,9,12.75,25.27,2.25,56.85,3.16,0.0084,0,3,3,0.0,79.5,79.5
25A,30,3,7,4,8,10,12,24.41,39.86,1.71,68.34,3.8,0.0133,0,6,6,0.0,71.41,71.41
25A,31,4,15,10,20,19,30,66.6,127.44,2.67,339.83,18.88,0.0425,0,11,11,0.0,61.73,61.73
25A,32,3,14,14,28,17,42,58.06,171.67,3.0,515.02,28.61,0.0572,0,20,20,0.0,54.63,54.63
25A,33,3,12,11,22,15,33,47.77,128.93,2.75,354.55,19.7,0.043,0,20,19,5.26,69.5,69.5
25A,34,4,8,5,10,12,15,32.0,53.77,2.5,134.44,7.47,0.0179,0,13,13,0.0,63.04,63.04
25A,35,5,13,8,15,18,23,59.72,95.91,2.88,276.66,15.37,0.032,0,10,10,0.0,63.5,63.5
25A,36,4,7,7,14,11,21,27.65,72.65,4.0,290.59,16.14,0.0242,0,17,17,0.0,59.45,59.45
25A,37,6,35,30,60,41,90,195.03,482.18,5.14,2479.78,137.77,0.1607,0,11,11,0.0,57.42,57.42
25A,38,5,12,11,22,17,33,54.63,134.89,4.58,618.23,34.35,0.045,0,18,18,0.0,56.63,56.63
25A,39,8,23,18,36,31,54,128.04,267.53,6.26,1674.95,93.05,0.0892,0,15,15,0.0,55.87,55.87
25A,40,5,19,22,44,24,66,92.32,302.61,5.79,1751.94,97.33,0.1009,0,28,28,0.0,49.58,49.58
25A,41,3,7,4,8,10,12,24.41,39.86,1.71,68.34,3.8,0.0133,0,11,11,0.0,65.54,65.54
25A,42,5,13,13,26,18,39,59.72,162.63,5.0,813.14,45.17,0.0542,0,23,23,0.0,53.47,53.47
25A,43,5,13,12,23,18,35,59.72,145.95,4.42,645.54,35.86,0.0486,0,20,20,0.0,55.26,55.26
25A,44,5,20,23,46,25,69,98.05,320.43,5.75,1842.45,102.36,0.1068,0,30,29,0.0,48.81,48.81
25A,45,5,17,14,28,22,42,81.1,187.3,4.12,771.22,42.85,0.0624,0,17,17,0.0,56.17,56.17
