name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
p_v,0,0,86,2,0,0,86,2,,,,
max_size,8,1,46,7,31,4,85,12,5.75,3.875,7.0,4.0
unite,6,3,42,20,37,16,85,39,7.0,6.166666666666667,6.666666666666667,5.333333333333333
mul,47,9,0,0,38,6,85,15,0.0,0.8085106382978723,0.0,0.6666666666666666
block,31,3,0,0,54,5,85,8,0.0,1.7419354838709677,0.0,1.6666666666666667
deb,83,4,0,0,1,1,84,5,0.0,0.012048192771084338,0.0,0.25
Cross,47,3,0,0,37,2,84,5,0.0,0.7872340425531915,0.0,0.6666666666666666
X1,77,4,0,0,7,2,84,6,0.0,0.09090909090909091,0.0,0.5
counter,71,5,10,2,3,1,84,8,0.14084507042253522,0.04225352112676056,0.4,0.2
current_min,0,0,44,8,40,6,84,14,,,,
ver,42,1,0,0,42,1,84,2,0.0,1.0,0.0,1.0
p_move,0,0,84,1,0,0,84,1,,,,
fr,57,6,0,0,26,2,83,8,0.0,0.45614035087719296,0.0,0.3333333333333333
son,42,3,0,0,41,2,83,5,0.0,0.9761904761904762,0.0,0.6666666666666666
mult,48,12,0,0,35,9,83,21,0.0,0.7291666666666666,0.0,0.75
pattern,0,0,33,2,50,6,83,8,,,,
cell,14,1,55,3,14,1,83,5,3.9285714285714284,1.0,3.0,1.0
gender,8,1,49,3,26,3,83,7,6.125,3.25,3.0,3.0
tp,54,5,0,0,29,4,83,9,0.0,0.5370370370370371,0.0,0.8
new_x,0,0,51,4,32,8,83,12,,,,
next_pos,0,0,38,5,45,10,83,15,,,,
dcmp,45,7,0,0,37,4,82,11,0.0,0.8222222222222222,0.0,0.5714285714285714
dd,75,5,0,0,7,1,82,6,0.0,0.09333333333333334,0.0,0.2
_l,37,10,4,2,41,8,82,20,0.10810810810810811,1.1081081081081081,0.2,0.8
_s,78,4,0,0,4,2,82,6,0.0,0.05128205128205128,0.0,0.5
bonus,3,1,28,1,50,2,81,4,9.333333333333334,16.666666666666668,1.0,2.0
current_k,0,0,10,2,71,3,81,5,,,,
memo,8,2,27,4,46,5,81,11,3.375,5.75,2.0,2.5
scale,40,1,0,0,40,1,80,2,0.0,1.0,0.0,1.0
max_e,2,1,78,1,0,0,80,2,39.0,0.0,1.0,0.0
new_a,0,0,75,3,5,1,80,4,,,,
_x,64,10,0,0,16,8,80,18,0.0,0.25,0.0,0.8
limit,38,8,12,4,29,4,79,16,0.3157894736842105,0.7631578947368421,0.5,0.5
aa,49,11,0,0,30,5,79,16,0.0,0.6122448979591837,0.0,0.45454545454545453
ts,58,7,0,0,21,2,79,9,0.0,0.3620689655172414,0.0,0.2857142857142857
deg,41,8,2,1,36,7,79,16,0.04878048780487805,0.8780487804878049,0.125,0.875
max_count,0,0,60,15,19,5,79,20,,,,
current_len,0,0,45,9,33,7,78,16,,,,
ct,63,7,0,0,15,2,78,9,0.0,0.23809523809523808,0.0,0.2857142857142857
ans3,78,3,0,0,0,0,78,3,0.0,0.0,0.0,0.0
carry,11,1,22,4,44,6,77,11,2.0,4.0,4.0,6.0
min_diff,0,0,36,9,41,9,77,18,,,,
zostawic,77,1,0,0,0,0,77,1,0.0,0.0,0.0,0.0
tru,40,1,0,0,37,1,77,2,0.0,0.925,0.0,1.0
it1,48,3,4,2,25,3,77,8,0.08333333333333333,0.5208333333333334,0.6666666666666666,1.0
ans2,70,12,0,0,7,3,77,15,0.0,0.1,0.0,0.25
big,41,3,0,0,36,3,77,6,0.0,0.8780487804878049,0.0,1.0
ng,77,3,0,0,0,0,77,3,0.0,0.0,0.0,0.0
edg,38,1,0,0,38,1,76,2,0.0,1.0,0.0,1.0
qi,38,2,0,0,38,2,76,4,0.0,1.0,0.0,1.0
neg,38,9,28,1,9,2,75,12,0.7368421052631579,0.23684210526315788,0.1111111111111111,0.2222222222222222
mo,63,8,0,0,12,2,75,10,0.0,0.19047619047619047,0.0,0.25
needed,10,1,11,4,54,10,75,15,1.1,5.4,4.0,10.0
max_d,0,0,64,8,11,2,75,10,,,,
req,33,6,5,1,36,5,74,12,0.15151515151515152,1.0909090909090908,0.16666666666666666,0.8333333333333334
bus_time,0,0,2,1,72,1,74,2,,,,
current_sum,0,0,38,10,35,4,73,14,,,,
new_node,13,4,8,1,52,3,73,8,0.6153846153846154,4.0,0.25,0.75
current_color,0,0,11,2,62,9,73,11,,,,
reduce,34,3,0,0,39,4,73,7,0.0,1.1470588235294117,0.0,1.3333333333333333
tj,69,1,0,0,4,1,73,2,0.0,0.057971014492753624,0.0,1.0
llaves,36,1,0,0,36,1,72,2,0.0,1.0,0.0,1.0
city_node,0,0,72,1,0,0,72,1,,,,
lf,44,6,16,1,12,1,72,8,0.36363636363636365,0.2727272727272727,0.16666666666666666,0.16666666666666666
fx,20,7,10,2,42,9,72,18,0.5,2.1,0.2857142857142857,1.2857142857142858
and,0,0,6,1,66,1,72,2,,,,
tree,42,6,0,0,30,4,72,10,0.0,0.7142857142857143,0.0,0.6666666666666666
beg,72,3,0,0,0,0,72,3,0.0,0.0,0.0,0.0
tn,36,1,0,0,36,1,72,2,0.0,1.0,0.0,1.0
min_len,0,0,6,2,66,5,72,7,,,,
mini,50,9,0,0,21,6,71,15,0.0,0.42,0.0,0.6666666666666666
Q,35,5,0,0,36,5,71,10,0.0,1.0285714285714285,0.0,1.0
oo,53,18,0,0,18,7,71,25,0.0,0.33962264150943394,0.0,0.3888888888888889
center,20,3,34,2,17,2,71,7,1.7,0.85,0.6666666666666666,0.6666666666666666
min_dist,0,0,47,4,23,5,70,9,,,,
new_r,3,1,24,4,43,4,70,9,8.0,14.333333333333334,4.0,4.0
f2,14,2,25,3,31,2,70,7,1.7857142857142858,2.2142857142857144,1.5,1.0
capacity,0,0,57,5,13,2,70,7,,,,
suffix,8,1,37,3,25,6,70,10,4.625,3.125,3.0,6.0
argc,52,33,0,0,18,8,70,41,0.0,0.34615384615384615,0.0,0.24242424242424243
MX,25,8,0,0,45,10,70,18,0.0,1.8,0.0,1.25
min_time,0,0,19,6,51,11,70,17,,,,
bloco,32,1,0,0,38,1,70,2,0.0,1.1875,0.0,1.0
clear,51,13,0,0,18,6,69,19,0.0,0.35294117647058826,0.0,0.46153846153846156
li,13,3,44,6,12,3,69,12,3.3846153846153846,0.9230769230769231,2.0,1.0
ck,22,4,36,1,11,2,69,7,1.6363636363636365,0.5,0.25,0.5
seen,36,5,0,0,33,2,69,7,0.0,0.9166666666666666,0.0,0.4
a_val,0,0,56,2,13,3,69,5,,,,
min,47,9,0,0,22,5,69,14,0.0,0.46808510638297873,0.0,0.5555555555555556
output,27,4,21,4,21,6,69,14,0.7777777777777778,0.7777777777777778,1.0,1.5
Maxm,36,8,0,0,33,7,69,15,0.0,0.9166666666666666,0.0,0.875
SP,44,2,0,0,24,1,68,3,0.0,0.5454545454545454,0.0,0.5
domino,0,0,0,0,68,1,68,1,,,,
untasted,30,1,0,0,38,1,68,2,0.0,1.2666666666666666,0.0,1.0
clone,26,4,11,2,30,4,67,10,0.4230769230769231,1.1538461538461537,0.5,1.0
new_j,0,0,11,2,56,8,67,10,,,,
maxN,41,10,0,0,26,6,67,16,0.0,0.6341463414634146,0.0,0.6
LL,49,8,0,0,18,4,67,12,0.0,0.3673469387755102,0.0,0.5
opt,17,3,18,2,32,4,67,9,1.0588235294117647,1.8823529411764706,0.6666666666666666,1.3333333333333333
k3,22,2,10,2,34,2,66,6,0.45454545454545453,1.5454545454545454,1.0,1.0
bi,25,2,33,6,8,2,66,10,1.32,0.32,3.0,1.0
pushed,0,0,32,2,34,3,66,5,,,,
alpha,17,3,11,2,38,4,66,9,0.6470588235294118,2.235294117647059,0.6666666666666666,1.3333333333333333
pw,51,10,0,0,15,4,66,14,0.0,0.29411764705882354,0.0,0.4
tail,63,3,0,0,3,1,66,4,0.0,0.047619047619047616,0.0,0.3333333333333333
max_a,0,0,52,10,14,4,66,14,,,,
elem,3,1,62,2,0,0,65,3,20.666666666666668,0.0,2.0,0.0
start_x,3,1,56,1,6,1,65,3,18.666666666666668,2.0,1.0,1.0
Y1,54,4,0,0,11,2,65,6,0.0,0.2037037037037037,0.0,0.5
tin,29,3,0,0,36,4,65,7,0.0,1.2413793103448276,0.0,1.3333333333333333
spf,0,0,37,4,28,4,65,8,,,,
start_y,3,1,56,1,6,1,65,3,18.666666666666668,2.0,1.0,1.0
ax,42,4,1,1,22,4,65,9,0.023809523809523808,0.5238095238095238,0.25,1.0
taken,37,9,0,0,28,6,65,15,0.0,0.7567567567567568,0.0,0.6666666666666666
digits,0,0,25,5,40,6,65,11,,,,
mya,32,1,0,0,32,1,64,2,0.0,1.0,0.0,1.0
k1,32,8,8,3,24,6,64,17,0.25,0.75,0.375,0.75
loop,30,2,0,0,33,2,63,4,0.0,1.1,0.0,1.0
invert,2,1,2,1,59,4,63,6,1.0,29.5,1.0,4.0
cycle,7,2,3,1,53,12,63,15,0.42857142857142855,7.571428571428571,0.5,6.0
cons,54,8,0,0,9,1,63,9,0.0,0.16666666666666666,0.0,0.125
vertexMiddle,63,1,0,0,0,0,63,1,0.0,0.0,0.0,0.0
n1,39,8,11,2,13,3,63,13,0.28205128205128205,0.3333333333333333,0.25,0.375
graph,16,2,0,0,47,2,63,4,0.0,2.9375,0.0,1.0
m1,30,7,6,3,27,7,63,17,0.2,0.9,0.42857142857142855,1.0
denominator,0,0,30,9,32,7,62,16,,,,
pos2,34,3,2,1,26,5,62,9,0.058823529411764705,0.7647058823529411,0.3333333333333333,1.6666666666666667
ac,36,4,0,0,26,3,62,7,0.0,0.7222222222222222,0.0,0.75
maxi,47,13,0,0,15,5,62,18,0.0,0.3191489361702128,0.0,0.38461538461538464
perimeter,0,0,53,5,9,3,62,8,,,,
max_k,0,0,38,6,24,6,62,12,,,,
max_r,5,1,35,4,22,4,62,9,7.0,4.4,4.0,4.0
tag,12,2,35,2,15,4,62,8,2.9166666666666665,1.25,1.0,2.0
is_prime,5,2,17,5,40,10,62,17,3.4,8.0,2.5,5.0
lft,38,4,0,0,24,3,62,7,0.0,0.631578947368421,0.0,0.75
exponent,0,0,32,9,29,5,61,14,,,,
nr,13,2,9,2,39,3,61,7,0.6923076923076923,3.0,1.0,1.5
vol,3,1,54,1,4,1,61,3,18.0,1.3333333333333333,1.0,1.0
offset,15,1,2,1,43,4,60,6,0.13333333333333333,2.8666666666666667,1.0,4.0
curx,32,2,0,0,28,1,60,3,0.0,0.875,0.0,0.5
fact,16,3,20,2,24,3,60,8,1.25,1.5,0.6666666666666666,1.0
max_st,0,0,0,0,60,1,60,1,,,,
SR,40,2,0,0,20,1,60,3,0.0,0.5,0.0,0.5
dr,19,7,16,4,25,7,60,18,0.8421052631578947,1.3157894736842106,0.5714285714285714,1.0
ff,38,9,0,0,22,5,60,14,0.0,0.5789473684210527,0.0,0.5555555555555556
pc,40,7,4,1,16,3,60,11,0.1,0.4,0.14285714285714285,0.42857142857142855
